Ion;Extraction;ET;Mols;Strain;Diet;Sex;Age;Age.Cohort;HMDB05843;HMDB11749;HMDB12815;HMDB00718;HMDB00092;HMDB00008;HMDB00187;HMDB01858;HMDB03905;HMDB03156;HMDB04230;HMDB00870;HMDB00444;HMDB00300;HMDB01164;HMDB00562;HMDB00076;HMDB00453;HMDB00323;HMDB00162;HMDB00134;HMDB00019;HMDB00535;HMDB12249;HMDB00883;HMDB00202;HMDB00407;HMDB00167;HMDB01527;HMDB04072;HMDB01406;HMDB01488;HMDB03903;HMDB01084;HMDB00079;HMDB00267;HMDB00070;HMDB00666;HMDB00725;HMDB00064;HMDB00687;HMDB00622;HMDB00168;HMDB00317;HMDB00191;HMDB00156;HMDB03224;HMDB00034;HMDB12128;HMDB11659;HMDB04989;HMDB12153;HMDB00224;HMDB03431;HMDB06331;HMDB00392;HMDB00894;HMDB00393;HMDB01988;HMDB00482;HMDB02284;HMDB01552;HMDB01263;HMDB06831;HMDB00208;HMDB01218;HMDB00641;HMDB00182;HMDB06779;HMDB00148;HMDB00694;HMDB00227;HMDB00696;HMDB00956;HMDB00283;HMDB04487;HMDB01859;HMDB00292;HMDB00020;HMDB03667;HMDB01476;HMDB13253;HMDB12251;HMDB00177;HMDB02320;HMDB04362;HMDB01241;HMDB00959;HMDB00462;HMDB12241;HMDB10721;HMDB00798;HMDB00339;HMDB00991;HMDB00225;HMDB02820;HMDB00555;HMDB03459;HMDB00486;HMDB02038;HMDB04077;HMDB00321;HMDB01424;HMDB00205;HMDB00174;HMDB12246;HMDB02005;HMDB00159;HMDB02334;HMDB00375;HMDB06462;HMDB03584;HMDB01545;HMDB00263;HMDB00289;HMDB00001;HMDB04980;HMDB00341;HMDB00721;HMDB00511;HMDB06488;HMDB00701;HMDB01264;HMDB12149;HMDB06028;HMDB00893;HMDB03357;HMDB00812;HMDB02201;HMDB00904;HMDB06355;HMDB00259;HMDB02043;HMDB01240;HMDB00122;HMDB00158;HMDB00247;HMDB01565;HMDB00272;HMDB06348;HMDB10724;HMDB02373;HMDB12150;HMDB01276;HMDB11635;HMDB06029;HMDB11717;HMDB00206;HMDB04823;HMDB00590;HMDB12710;HMDB11165;HMDB11745;HMDB01896;HMDB00094;HMDB00127;HMDB00954;HMDB00565;HMDB03966;HMDB04998;HMDB10729;HMDB00704;HMDB06406;HMDB00603;HMDB00638;HMDB00731;HMDB00832;HMDB00107;HMDB00792;HMDB00201;HMDB11667;HMDB04231;HMDB01451;HMDB01925;HMDB00860;HMDB02203;HMDB11714;HMDB00682;HMDB03581;HMDB10727;HMDB00910;HMDB06802;HMDB00114;HMDB13279;HMDB00888;HMDB00387;HMDB00856;HMDB00824;HMDB11150;HMDB01300;HMDB03764;HMDB00350;HMDB00212;HMDB00099;HMDB10325;HMDB00560;HMDB00033;HMDB00499;HMDB01228;HMDB00933;HMDB11175;HMDB13267;HMDB00618;HMDB03219;HMDB02335;HMDB01434;HMDB12161;HMDB01974;HMDB13125;HMDB11725;HMDB00038;HMDB00194;HMDB10730;HMDB00826;HMDB02366;HMDB13286;HMDB00296;HMDB02327;HMDB01931;HMDB01526;HMDB02012;HMDB00736;HMDB04086;HMDB04195;HMDB12273;HMDB00220;HMDB00086;HMDB13161;HMDB00124;HMDB11171;HMDB01551;HMDB00497;HMDB00050;HMDB04081;HMDB10733;HMDB10734;HMDB13238;HMDB01388;HMDB00673;HMDB01358;HMDB00827;HMDB01068;HMDB11685;HMDB01852;HMDB01062;HMDB01067;HMDB01043;HMDB04269;HMDB00125;HMDB05060;HMDB00031;HMDB00553;HMDB01016;HMDB02156;HMDB05045;HMDB00095;HMDB12252;HMDB12799;HMDB02088;HMDB05023;HMDB02183;HMDB02121;HMDB06528;HMDB02226;HMDB02884;HMDB00944;HMDB06591;HMDB01922;HMDB00045;HMDB04080;HMDB11681;HMDB00353;HMDB03601;HMDB11539;HMDB02685;HMDB02007;HMDB06273;HMDB00037;HMDB11153;HMDB01439;HMDB00949;HMDB02368;HMDB03180;HMDB02886;HMDB00418;HMDB02304;HMDB03572;HMDB02082;HMDB11575;HMDB00912;HMDB11543;HMDB00280;HMDB01984;HMDB00447;HMDB12575;HMDB05022;HMDB03556;HMDB01341;HMDB10334;HMDB00416;HMDB03474;HMDB07852;HMDB11152;HMDB11589;HMDB11118;HMDB06898;HMDB00513;HMDB10321;HMDB01396;HMDB06321;HMDB00036;HMDB04135;HMDB06455;HMDB11496;HMDB10386;HMDB10385;HMDB07010;HMDB00548;HMDB11762;HMDB00286;HMDB11499;HMDB10400;HMDB05774;HMDB01898;HMDB07021;HMDB12146;HMDB10361;HMDB07033;HMDB07217;HMDB04953;HMDB02429;HMDB07353;HMDB07121;HMDB00757;HMDB07858;HMDB07266;HMDB07901;HMDB07868;HMDB12085;HMDB08835;HMDB07941;HMDB07940;HMDB07938;HMDB09347;HMDB08946;HMDB07949;HMDB10580;HMDB07889;HMDB01248;HMDB10602;HMDB07991;HMDB04975;HMDB08457;HMDB01275;HMDB10611;HMDB07989;HMDB06502;HMDB12107;HMDB10166;HMDB10166;HMDB12316;HMDB05370;HMDB09821;HMDB04047;HMDB09929;HMDB09999
1333;NH24_R;1095;25;BXD90;HF;F;594;3;1314;1486;1511;7153;91871;32963;16460;6140;13685;2302;13681;8323;17315;54133;6896;30436;10517;3319;644;79005;99825;6610;12070;7009;109154;457167;6442;29424;5346;8631;19204;7960;51835;4512;143559;243319;4998;5058;12946;6369;347834;110372;22497;3442;127736;324236;2166;454963;189;1352;1864;7322;59111;603;158111;4907;8927;36509;4555;8283;881;1343;17032;976;32923;2748;1134431;160316;54974;402759;67583;9099;11950;16091;10480;5740;5781;400080;17122;4651;10229;1088;5053;264003;4370;8252;1474;5428;20347;4405;9077;20635;12211;625;5703;2068;5173;2313;3019;4271;5123;67510;2642;9653;14881;809;6297;123385;20702;7469;728630;69975;6581;3901;190407;5014;4625;6563;4718;11172;1626;10444;14763;5170;5160;10325;6135;13013;1481;6078;2065904;3870;4228;1253;292484;76171;31689;2971;95478;2202;4648;3613;1306;1379;2655;43193;23133;11370;27190;51969;21547;3932;4463;844;87919;4950;1601;355830;3223;2993;5159;1152;1068;7423;93304;1281;1017;3323;8445;6777;7813;1600;5921;8557;5578;6798;22145;18729;2369;4268;10932;1398;327164;1007;5320;2722;4218;1430;643;112056;17084;5889;7847;7130;11835;2950;2706;15062;5339;6878;3944;923;33592;3299;4359;1631;5650;2551;1823;20736;4164;1738;3384;85338;836;6395;179282;4136;4804;4373;2569;3418;2545;8442;3636;2221489;15222;1324;213472;7190;1639;2462;10440;70630;18456;15002;651;62857;687910;6815;1606644;79645;5531;3922;22696;3123;191553;2968;210410;15455;3739;19617;6432;636;4619;19017;393;1409;741;2256;88882;2657;13612;12525;2250;7092;1591;2613;259246;468;80689;2883;2067;1075;1817;1918;8836;2258;915;6054;6387;2494;3721;6184;15705;641;94066;5643;742;6789;2900;2763;2078;1674;1863;1398;2017;83716;1845;2568;2231;4504;2567;1823;1355;2571;2756;1717;2129;1839;23417920;6251;511;7526;8141;6655;2187;645;759;112735;3163;671;2236;2314;607;855;2073;1310;5902;2207;1791;2133;2592;23404;5284;1208;1492;1694;1225;31808;42695;201683;82679;18012;332799;391653;13096;11192;3219;40807;13799;2591;3796;1665;27587;28065;6091;3224;20422;20422;2347;2480;5444;4212;3970;2503
1334;NH24_R;1095;25;BXD90;HF;F;594;3;1342;1318;1530;6587;91632;33853;16088;5798;11998;2104;14355;7915;15603;55855;7591;30969;11452;3386;707;82424;97336;7371;12224;6640;113125;452100;6204;29610;5451;8547;19071;7381;53281;4278;142464;244242;3992;4331;14822;6729;359489;111684;22362;3991;125066;325718;2543;474714;338;1527;1627;8026;60858;634;166366;5426;10515;38708;4883;7866;695;1404;16343;1219;32605;2317;1132809;173736;56501;399576;64346;10116;12007;16014;11283;4838;5995;393429;17557;4822;9338;1211;4844;275407;4189;7928;1713;5405;20591;5042;7936;21469;12015;764;6147;1940;4844;3074;2760;4837;5391;72368;2697;9988;15206;1085;5370;123122;19737;7185;719209;70873;8448;3941;193870;4596;5013;6008;5444;11280;1876;10954;15189;5481;5317;10215;5623;13291;1351;5514;2050420;4193;4305;1528;300443;77941;34371;3082;95345;2412;4741;3507;1319;1656;2914;44268;23040;12159;26852;48609;22671;3844;4177;867;85040;4965;2060;354222;3167;2971;5636;1475;1342;6246;97797;1163;1068;3614;9120;7254;7520;1520;4492;8767;5898;6954;22431;20179;2740;4291;10776;1880;323019;812;4894;2466;4806;1425;861;108386;16904;5941;7669;6778;11421;3270;3083;16389;5071;6878;4465;1322;31977;3601;4174;1508;5868;2524;1434;22801;4375;1661;3697;85404;1464;6609;184732;3924;5150;4735;2569;3657;2596;7249;3984;2212458;14968;1586;208983;7101;1678;2560;10003;70758;18780;15692;792;49530;600146;7810;1656947;75868;5698;4088;22713;2691;178598;3327;198834;14566;3900;19873;7142;655;4416;19039;399;1381;639;2352;80966;2475;11677;12019;2472;7650;1323;2789;248727;406;80486;2725;1978;907;2118;1751;9524;2633;986;5518;6917;2938;3978;6002;14912;503;89880;5452;901;6492;2701;3109;2449;1581;1646;1476;2118;83471;1784;2305;2459;4000;2164;2102;1339;2334;2269;1856;2440;2044;23048622;6402;643;7487;6948;6836;2289;698;648;108988;3274;547;2671;1906;566;968;1983;1044;5925;2515;1420;1818;2763;23508;5487;1522;1446;1291;1295;33476;44132;207280;85941;20257;361134;412692;13300;11897;3107;41362;14290;2986;4033;1742;26741;29487;6001;3373;21024;21024;2506;2218;5729;3889;3867;2692
1335;NH24_D;1284;50;BXD65;CD;F;367;2;12637;886;1744;6386;38277;25069;10381;6019;7381;1408;8240;5629;9889;31990;4453;29293;8092;1739;704;52458;21639;5328;13195;5094;113388;294076;4436;16811;5068;7094;19473;6467;75376;3929;67419;208797;4611;3747;6258;5138;288335;23887;10754;2835;42836;131976;2069;1014998;752;1871;1045;6908;19780;1123;164746;3824;8178;25878;3598;8342;797;2869;14506;3247;9078;1861;480449;111925;55390;142677;15453;4415;6783;1743;8867;5077;6734;94530;5768;3772;6153;1179;3307;168484;3382;5452;2065;3215;10158;2726;7204;20605;8723;807;5882;2233;4029;2083;2377;1394;7130;46925;5228;10104;14125;1214;4073;81220;20430;5251;1684005;108979;6588;1292;160411;2462;4021;5065;5145;11682;1944;12698;10984;1940;4360;10508;6439;6947;1554;3546;117661;1665;3688;1168;152185;41682;24719;1855;37251;1810;3413;3212;1282;1023;4872;32212;21726;9676;75701;68300;9594;3252;3014;1004;38450;10573;2064;304327;4948;2692;3031;1217;1622;5080;65704;589;1051;2178;9570;7159;6539;1004;4363;7107;4603;5063;2577;8295;3150;2882;9646;2250;104062;1011;4204;1864;2572;994;409;57760;8559;3407;14425;6131;11663;3853;1308;18909;6513;3991;6034;1414;24721;1674;4479;1166;3870;1893;1430;19147;5505;1583;3579;96570;1250;9914;71292;4422;4217;18621;2778;3991;2486;10123;2948;2132982;10009;1028;207879;5383;2625;2524;20560;4215;28347;11711;470;171187;1439006;5974;1510423;41488;3277;6284;12713;3265;232764;3293;120160;15733;8319;18497;12452;672;4540;27272;585;2616;729;2715;133357;3383;19129;12805;2274;7568;1254;1789;462553;433;46145;3946;1833;1499;2914;2855;9220;3959;1034;1741;21053;3074;4391;6711;33018;646;28816;7564;661;2458;1890;2079;4521;2918;1126;1879;1747;147878;1558;3031;2543;5308;2333;1792;1129;4211;2504;2075;1553;1454;25931806;23655;661;16259;10071;6311;1862;954;558;82751;4118;718;1695;2733;516;795;2314;2294;9739;1953;1478;1589;4012;20612;3702;1945;1154;866;1451;30197;62028;252711;54812;10122;398647;522227;10907;18592;2927;63151;21233;1983;3726;1601;48537;41941;3839;2267;24130;24130;2391;1807;7649;3141;4494;2542
1336;NH24_D;1284;50;BXD65;CD;F;367;2;14016;1017;1253;6495;36362;24417;10709;5669;7301;1422;8136;5828;10533;33720;3559;32292;7908;1851;734;50089;22815;5751;12624;5076;112070;282876;4388;16687;5283;6932;20821;7153;71489;3989;67923;199868;4292;3812;6836;5469;301519;22398;10359;3163;40744;135431;1794;1028544;970;2248;1378;7536;20700;1110;165047;4283;7403;26988;3183;8383;720;3164;13557;2875;9171;1693;478768;118031;55701;142123;15904;6218;7258;1728;7951;4634;5061;93147;5991;3828;6403;1005;3917;169670;3297;5696;2215;3528;10862;2949;8450;22005;8453;740;4443;2592;4241;2232;2847;1333;6816;48965;4412;10475;13557;743;4003;80923;21723;4622;1640477;107121;6633;1202;158590;2414;4345;5058;5368;11756;2254;11819;11194;1615;4423;10122;6774;7192;1641;4265;110871;1937;3678;978;148263;43481;28169;2010;38759;1823;3950;3085;1328;923;4528;32394;21854;8943;75764;69641;9695;3166;3132;821;40398;10909;1774;303164;5574;2432;3592;1560;1655;4914;63031;902;1286;2249;8840;6925;5898;1038;3381;6267;5314;5186;2139;8878;3220;2472;10029;2625;104343;925;4087;2138;2588;1164;452;56657;7775;3732;13534;5943;13007;3793;1684;17264;6367;3739;5935;1603;24753;1917;4551;1544;4038;2022;1380;20060;5431;1663;3368;98308;1311;11096;70809;4518;3625;18333;2221;4094;2262;9553;3283;2069293;10148;979;208990;5627;2176;2627;21266;4105;27972;10983;531;152290;1298133;3671;1501346;42229;3071;6616;12696;2947;214234;3435;122939;16390;7299;19290;12923;771;4119;26342;724;2095;880;2488;122860;3097;19440;12112;1981;7255;1285;1632;466751;712;46047;3414;1712;1400;2896;2713;10077;4053;937;1887;20670;2852;4008;6820;31552;602;29000;7556;768;2639;1796;1931;5287;3412;835;1898;1788;147028;1679;2432;2463;4587;2299;1333;1450;4671;2578;1972;1461;1271;25645530;22421;714;15736;9371;6270;2000;883;604;80558;3982;676;1943;2329;482;841;1972;2048;9658;1683;1251;1354;4076;21054;3616;1828;878;813;1304;28532;58926;234978;53960;9940;363284;481615;9688;17158;2782;60583;20371;2023;3278;2072;46161;39450;4346;2194;24461;24461;1953;1887;7353;3189;4306;2576
1337;NH24_R;1217;25;B6D2F1;HF;M;404;2;4555;1078;1274;7771;60778;37663;32043;5648;11973;1329;11167;6814;12115;58277;3602;31495;14481;2559;873;95832;71970;6492;10886;5597;158328;352865;5637;34446;5662;9987;18352;6661;53413;3422;137059;213940;4783;4556;7233;8647;564167;65572;28002;3944;59022;159728;2105;702322;542;1520;1835;11205;20964;649;154584;4390;6441;42518;4057;11582;1074;1434;15662;1946;14667;2678;1076433;183534;53616;218489;38011;10097;25534;1390;11475;3955;5675;553610;26187;5520;9850;1038;4112;201500;3002;5041;2543;4476;18915;3463;9002;24953;11640;620;5386;2186;5265;3412;3471;5161;5408;119816;2846;9866;9978;735;6275;231123;24610;6470;604297;58767;5325;2187;151185;3516;6229;7568;5657;15121;1724;8695;10113;3352;3681;12286;7456;8701;1257;5173;2013402;3961;3558;1309;337490;124727;36117;2097;68005;1815;4500;4106;1408;1073;3805;27484;29435;13830;26194;16893;9245;3380;3524;823;41181;7206;1785;375723;2828;2556;3935;1375;1561;5389;137506;828;4185;2690;13388;9118;9387;1642;2798;5042;4476;6021;2183;18095;4389;4204;14064;2097;181275;1632;6469;3171;2867;1182;635;75918;14879;5292;17362;15227;64229;4167;2984;23290;3344;4209;8142;4722;34233;2562;5432;1740;5863;2051;1185;22456;4324;3212;3888;111109;1766;15922;145490;5136;2836;10198;1908;4390;7538;10159;3137;2504148;15601;4335;255449;6760;6724;4731;15195;18989;19589;12758;822;298586;4726155;4335;1774460;56365;2900;6640;17185;2232;1380932;2872;194737;34796;7797;22665;7271;693;4475;11715;568;2129;769;3211;527382;3213;60415;34783;2635;7761;1472;11829;268038;483;92730;3836;1131;1305;2366;7178;7174;2745;946;4999;13077;2989;4679;7274;30769;1744;1121441;6868;1853;6065;2478;2722;2517;2475;1352;1121;2626;66056;4367;4363;2615;7110;2540;2442;2796;1956;3246;2200;1087;1058;17463756;2992;616;47478;12088;7967;2121;822;955;42566;1680;443;2001;3070;541;1543;2089;2181;8687;1839;1187;1737;3231;40577;3571;1586;1286;963;1485;35874;62821;177391;43591;16954;558113;508916;13353;16418;3632;43059;20718;2123;3258;1928;46370;38442;6214;2683;16363;16363;2145;2356;6343;2382;4085;2770
1338;NH24_R;1217;25;B6D2F1;HF;M;404;2;4745;1192;1096;7101;59794;37228;33596;6877;12061;1609;10927;7104;10988;59771;3685;34058;13796;2335;1131;98140;72008;7446;11257;4805;166034;345240;5463;34352;5021;10066;19350;6725;54218;3471;135205;217440;4649;3988;6972;8717;577006;62861;26841;4265;57546;156740;2046;712010;518;1492;2039;12268;21504;671;159962;4098;6530;44028;4277;11062;932;1414;14238;1907;13357;3353;1070908;195267;54058;211937;33840;9827;25337;1374;11896;4514;5328;548257;25485;5397;10087;926;3957;204611;3697;4927;2084;4194;18594;2942;9062;25616;11984;692;4822;1969;5382;2648;3532;6017;5884;121481;3367;9527;10867;1040;6363;228438;24108;6357;593910;56420;5378;2408;153356;3959;6318;6963;6205;14496;1468;9137;10313;3044;2968;12108;7008;8586;1577;5155;1989757;3683;3182;1085;343082;122598;38036;2357;67046;1977;4326;4525;1306;1182;3896;26980;28483;12990;27842;17988;9941;3060;3417;924;43167;6582;2084;362788;2947;2275;4147;1219;1586;5143;136811;582;3686;3003;13015;9337;8374;2076;2441;4866;4961;5756;2244;18137;3942;4072;14188;2763;183051;1725;6202;3680;2644;990;690;72761;16225;5055;16744;15911;65965;4055;2740;23287;3634;3943;7519;4500;35718;2613;4323;1829;6428;2151;1264;23067;4392;2969;3963;112837;1929;15421;145266;5011;2711;9122;1566;4372;8184;8073;3447;2589181;15112;4027;258572;6781;7447;4439;16597;19348;20192;12826;814;273440;4446162;4314;1814850;54214;3427;6695;16710;2170;1272900;2463;183311;34647;7867;21915;6780;670;4555;11210;551;1991;1204;3479;482978;2564;59395;34887;3054;7778;1520;12172;262299;475;95993;3967;1024;1347;2462;6335;7702;3074;939;4848;12822;3192;5064;8352;28939;1843;1079402;6852;1431;5670;2188;2823;2604;2336;1213;1328;2621;63892;4133;3749;2534;7278;2578;2358;2734;2454;3133;2516;1358;1090;16989814;2769;464;44504;10865;7016;2373;567;760;40087;1574;610;1609;2963;669;1059;2128;1836;7996;1945;1263;1666;3190;41438;4282;1863;1176;772;1530;36469;63646;175994;45042;17395;544529;517702;13656;15326;3273;41654;20499;2587;3383;2163;44459;37492;6191;2687;15982;15982;2438;2436;5628;2513;4211;2537
1339;NH24_D;1270;50;BXD95;CD;F;366;2;12626;1524;1418;8165;64144;21717;25370;7151;11694;1642;7217;7211;14415;22867;3841;33730;9022;1987;1027;67108;69885;6306;11873;5886;113037;334159;3917;19934;5377;7708;14483;5990;63557;3567;134501;286748;4554;5302;6692;7751;298166;22505;11064;3506;105257;488390;2304;381152;294;1241;1384;6779;18341;708;173805;4909;8221;26061;4524;14553;1135;3683;16799;11142;6467;1901;1074551;100498;58215;239758;14631;8866;7167;1525;8839;4539;5887;112130;6651;3233;5998;846;4127;207103;2902;4842;2233;4183;15271;2589;10494;32510;9186;1276;5584;2194;4741;2340;3133;2637;8817;53385;3490;9479;18912;896;5532;87766;22496;5550;662457;50296;5259;1518;190107;2635;3785;6164;6334;24648;1688;9934;14966;2106;4926;15782;7879;7788;1637;4512;172533;1607;3720;1144;257178;55787;30508;2179;92728;1794;5138;4842;1860;995;4512;28816;33736;8535;30639;12053;9527;2662;3148;763;65586;8730;1533;318844;4385;2789;3567;1788;1818;4804;198021;708;1594;2856;12026;5750;7687;2334;2942;6019;6082;4973;2443;14253;2840;3978;22266;2179;98832;2184;5529;2847;1804;883;378;212205;12389;3887;9819;6247;9748;3641;1931;38205;3437;4080;3816;2612;23361;1973;4313;1680;3655;1862;973;21415;8487;2524;4212;272314;1497;19868;42596;5818;3649;16211;2563;5944;5687;9592;3642;4087671;13973;1719;232560;6032;2139;2580;7769;3185;31400;18784;935;139622;1469225;5107;2531252;61236;3638;9257;9844;2739;323690;2828;156229;23486;7659;42322;13993;869;3664;20905;583;2355;830;2866;206387;2842;19792;13257;5275;16972;1304;1808;391078;482;84284;1960;1317;1253;2626;2511;8285;3419;889;1993;4714;5513;6462;5256;17573;757;38149;5791;863;3059;2622;2897;2541;1630;982;1439;1638;86396;1789;2714;3364;6718;2799;2189;1310;2492;1774;1640;2270;1106;18688560;3730;575;14458;9921;5877;2480;575;640;66615;1851;539;1520;1542;371;1158;1255;2257;8367;2757;1330;1581;3506;8447;5961;1485;1475;875;1458;51816;93608;276538;67378;18773;625026;606053;9180;16916;2072;63100;21174;3923;4778;1618;46100;46316;4846;4302;23083;23083;2698;2803;11139;2332;5231;3124
1340;NH24_D;1270;50;BXD95;CD;F;366;2;11862;1273;1296;8383;64304;23297;24250;6087;11318;1622;6916;6664;13382;22304;4440;34694;8630;2324;1331;66802;69390;6950;11808;5865;116749;333604;4397;21331;5555;7673;16235;5564;67211;3988;132446;278708;5511;4808;7099;8709;299184;22265;11643;4230;104376;493139;2224;377372;288;1095;1558;8265;17556;1088;169168;5103;8877;28312;3923;13969;987;3606;14939;11395;6846;1936;1088952;109133;60399;239314;14639;9236;7412;1659;8739;4928;6209;110361;6360;3577;5949;1098;4436;215441;3676;5602;2294;4619;13800;2357;11554;32880;9694;1331;5316;2462;5955;2402;2992;3072;9672;53772;3398;8597;19615;817;5612;91207;21466;4695;650022;51058;5070;1271;191069;3468;3957;6768;6934;24372;1425;10067;14631;2293;4227;14855;7790;7657;1763;5004;168336;2202;4427;1325;263906;57080;31471;2679;92594;1508;5367;5086;1513;887;4507;29029;32381;8584;30829;11104;8957;2995;2708;740;66030;8353;1897;310230;4257;2475;3364;1541;1739;4502;200043;512;985;2901;11792;6651;7515;2043;2931;6617;6045;4893;2460;13702;2847;3556;22976;2444;98599;1679;5255;2621;2022;1022;635;221671;11779;3960;9939;6490;9604;3905;1937;35950;3767;4373;3730;1742;24025;1826;3658;1266;3822;1819;929;21522;8961;2923;4301;298385;1693;19591;41400;5054;3239;14052;2012;5571;6872;10526;4001;4668046;14257;1683;222245;6711;2846;2812;9472;3451;30459;20746;790;131353;1418676;5772;2906544;59997;3638;8331;9356;2805;316383;2515;150413;25374;7365;45348;14112;810;4304;20220;393;2243;985;2755;208981;3485;19984;13424;5604;20881;1204;1796;379369;618;82683;2097;1174;1396;2336;2696;7645;2844;1020;1913;4672;5920;7047;4896;17033;888;33470;6676;686;2798;2650;2557;2737;2000;863;1227;1574;82798;1611;2252;3004;6385;3087;2160;1245;2486;1897;1550;2097;1197;18256462;3360;433;14399;9903;6218;2646;764;1103;64001;2122;550;1767;1130;441;1002;1635;2623;9607;2893;1198;1820;3739;8691;5890;1518;1430;1154;1454;57499;100721;290675;70255;20303;694694;650310;10117;17517;2246;66732;22080;4230;5229;1715;49023;49375;4374;4177;24455;24455;2636;3107;11831;2430;5412;3151
1341;NH24_R;2098;25;BXD65;CD;F;222;1;23673;1919;1787;6476;77788;38937;20536;7462;14578;1791;19273;15463;10979;63975;3961;26588;15228;2179;976;79633;42249;6866;15211;5757;130491;417037;5699;41847;4779;17945;28721;7947;52822;3176;153389;335932;4682;4655;8357;7850;375122;28314;22649;4039;65505;220188;2478;1426549;1380;2976;1152;7866;20963;834;134796;4317;13328;55085;4253;10712;923;2173;26767;4585;10503;2072;1166519;190329;49078;321357;22210;10666;11708;1985;26913;4560;5522;549972;22268;5456;13310;2228;8590;518013;10104;6824;2757;6656;14310;3321;9929;23412;13653;1354;6774;2275;6366;3666;3856;1108;11045;94348;8656;12267;21262;949;4080;152266;21170;8644;992938;66400;6642;1769;269778;4492;7400;6220;10810;16395;2364;31326;52505;2772;10202;14759;10750;5919;2182;9051;363441;3152;3465;1040;499674;96225;32892;2750;68450;3506;5837;3912;1959;1123;7507;83213;28108;15304;33785;66472;13117;5369;3562;1173;44398;11608;3547;596800;2685;3234;4013;1415;1931;11207;84983;363;2071;3016;17680;14363;8673;1212;4983;5712;8620;7118;27673;18750;4364;3906;12034;1878;183571;1850;5757;3200;4436;1309;799;96391;24390;6360;8733;9123;19182;3146;2218;16590;6732;8169;3988;2634;78574;2960;7057;1827;6271;2185;2805;19207;6638;2586;4759;94967;2257;24543;289059;5462;4570;7829;2945;5111;2188;47424;4224;2507162;12841;1652;465559;8636;2685;3142;29518;71310;35127;22826;893;196677;2109923;4523;1867526;61265;3813;6336;22048;5110;376917;5891;1794937;21757;15156;20860;33141;749;5315;42858;520;1566;1062;3995;244068;4164;39428;23284;2409;7133;2100;8256;642649;771;102904;2954;2084;1992;4163;6306;13104;5569;901;8872;17569;3050;7618;7984;47316;976;682601;11328;1466;5060;2444;3093;4128;2341;1407;2039;2447;148872;4171;4687;2193;6975;2495;2043;3185;2191;1465;2159;2522;1370;15757440;2511;466;16733;9061;5972;1833;602;732;180064;2319;470;2629;2493;681;1354;1957;2793;6017;3274;1595;1802;5963;47592;7576;4615;1848;1134;1527;112050;167979;475323;74455;29555;1281808;1448457;32157;23840;8595;76511;30008;2349;5030;2178;62300;46576;8513;3140;30817;30817;2910;2228;13872;2044;5186;3469
1342;NH24_R;2098;25;BXD65;CD;F;222;1;23865;1553;1537;5552;76337;41039;21751;7764;13010;1935;20738;15954;10995;63024;4132;27811;15711;2270;1022;77912;42896;6191;14468;6237;136016;404175;5313;44226;4098;19376;33651;9083;52000;4078;155796;333007;4840;4437;8475;8004;382594;29240;23681;4044;63579;215555;2949;1420208;1247;2773;1139;7804;21017;747;139717;3953;13787;58705;4190;11174;1192;2261;28092;3706;10381;2172;1161328;212054;50253;322600;22491;11355;13079;2174;28724;4910;5904;555028;22119;6198;13389;1966;9056;536537;10060;7730;2958;7140;15729;3049;10085;25363;13570;1291;7944;1814;6536;3404;3725;1161;12857;104741;9260;12636;20912;868;3836;151995;18135;9783;963665;63775;6913;1659;263390;4376;7007;7191;10225;15443;2381;33280;55131;2769;9646;14276;10636;5797;2349;8770;363502;3780;3553;1238;508913;98860;31547;2339;68590;4112;5971;4036;1567;1163;7714;82819;27967;15423;32068;63530;13174;5722;4218;755;39794;11302;3602;582687;2642;3381;3728;2009;2153;11500;88226;665;2370;3426;19843;14344;7726;1226;4938;5999;8527;7161;27067;20182;4964;3988;12200;2151;179024;1807;6792;3564;4636;1246;697;84715;23532;6238;8317;9814;19308;3492;2178;16885;6507;6963;4507;3186;76991;2785;6491;2036;5451;2465;3096;18590;6258;2640;3985;98136;2112;23450;277540;6013;5493;8894;2454;5255;2580;47398;4410;2711527;12929;1529;451573;9193;2598;3073;31181;69318;34807;23556;689;215774;2320138;4198;2036119;57453;3856;6384;21574;5271;431411;5668;1732304;25286;15335;21751;32634;954;5548;45837;693;1514;1221;4113;272189;3967;42373;27439;2739;7774;1754;8632;617871;918;101744;3303;2163;2012;3935;7570;13063;5686;1069;8390;16937;3265;8328;8456;47530;966;656927;10577;1753;5319;2367;2854;5052;2694;1716;2104;2245;148123;4290;4575;2534;8688;3258;1818;3319;2250;1335;2335;2201;1489;15442757;2742;482;19056;9110;5976;1898;632;705;171129;2437;637;2650;2826;753;1409;1782;2858;6241;3596;1349;1936;6034;45813;7598;4929;2048;1283;1617;127247;189266;513007;82448;33742;1468931;1614015;36572;24088;7586;89387;32047;2254;5971;2532;69820;52312;8505;3677;35437;35437;3335;2315;14447;1947;5657;4367
